KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,1000,64,128,19,1000,0.09303204345703125,0.6065706787109375,-24.610244750976562
1,1000,64,128,19,1000,0.11106078338623047,0.5167540283203125,-20.794490814208984
1,1000,64,128,19,1000,0.10042868041992188,0.5160091552734375,-20.183351516723633
1,1000,64,128,19,1000,0.12690955352783204,0.5139227294921875,-20.64678382873535
1,1000,64,128,17,900,0.19138084411621092,0.597146240234375,-24.394603729248047
1,1000,128,128,34,1100,0.15698008728027343,0.5753818359375,-48.842010498046875
1,1000,128,128,31,1000,0.104927490234375,0.5783319702148437,-48.48747253417969
1,1000,128,128,34,1100,0.11595451354980468,0.5817452392578125,-48.056068420410156
1,1000,128,128,31,1000,0.18414389038085938,0.552647216796875,-44.851097106933594
1,1000,128,128,31,1000,0.12517230224609374,0.6124857177734375,-52.98185729980469
1,1000,256,128,158,1100,0.14370040893554686,0.6115073852539062,-97.32920837402344
1,1000,256,128,149,1000,-0.04034965515136719,0.5920465087890625,-91.21894836425781
1,1000,256,128,136,1000,0.13523728942871094,0.6078850708007812,-97.51376342773438
1,1000,256,128,123,900,-0.07271146392822266,0.5920206298828125,-94.20803833007812
1,1000,256,128,145,1100,0.05436893844604492,0.57646728515625,-90.57771301269531
1,1000,512,128,268,1200,0.19018992614746094,0.620361083984375,-150.08065795898438
1,1000,512,128,272,1200,0.14626112365722657,0.6220399169921875,-155.50250244140625
1,1000,512,128,276,1200,0.2246429443359375,0.6167324829101563,-143.88232421875
1,1000,512,128,230,1000,0.07130964660644531,0.56516845703125,-116.78717041015625
1,1000,512,128,272,1200,0.22892930603027345,0.6269693603515625,-152.9200439453125
1,2154,64,128,24,900,0.14101497044470318,0.5400082332288765,-21.18536376953125
1,2154,64,128,30,1100,0.1971154598140451,0.5484046192222319,-21.559818267822266
1,2154,64,128,26,1000,0.11897473348548486,0.5529719417363046,-21.551237106323242
1,2154,64,128,26,1000,0.15411388287415853,0.5628506829590297,-22.064777374267578
1,2154,64,128,24,900,0.12995984317421802,0.5201554860687965,-19.83840560913086
1,2154,128,128,37,1000,0.14194826428936716,0.5864614275947365,-49.30638122558594
1,2154,128,128,37,1000,0.06966717506628294,0.5431899953574745,-43.944576263427734
1,2154,128,128,37,1000,0.09494839582381252,0.5434543676916492,-46.46923065185547
1,2154,128,128,38,1000,0.0817842545504911,0.5790804807190112,-48.512908935546875
1,2154,128,128,34,900,0.18164539957002235,0.6017733744813428,-51.595367431640625
1,2154,256,128,156,1100,0.1904762572675473,0.5806981107097261,-91.29171752929688
1,2154,256,128,139,1000,0.013101723864882106,0.5606257049928911,-89.58123779296875
1,2154,256,128,154,1100,0.15784402633001102,0.5903000685497911,-95.07740783691406
1,2154,256,128,140,1000,0.17281588781953633,0.5733793324193361,-90.77243041992188
1,2154,256,128,160,1100,0.17260128719007514,0.6371437859070335,-106.03620910644531
1,2154,512,128,252,1100,0.16794290781685237,0.5881753423862581,-132.57644653320312
1,2154,512,128,279,1200,0.2029677083786705,0.622559840521994,-151.9208984375
1,2154,512,128,277,1200,0.19303500176361565,0.5936970121902565,-127.12567138671875
1,2154,512,128,257,1100,0.12541399914131413,0.596430729801387,-129.95724487304688
1,2154,512,128,250,1100,0.08544010172979413,0.5844395601207056,-132.412109375
1,4641,64,128,44,1100,0.17379804799022974,0.560706899947479,-23.04258155822754
1,4641,64,128,41,1000,0.12785468566933986,0.5491945726607951,-21.65471649169922
1,4641,64,128,38,1000,-0.021607000954678747,0.5530986132433743,-22.556255340576172
1,4641,64,128,40,1000,0.09860399143882312,0.542615032791963,-20.739599227905273
1,4641,64,128,40,1000,0.14558743043491434,0.5284636090012929,-20.944726943969727
1,4641,128,128,45,1000,0.12228561233688187,0.5888522476298211,-50.306922912597656
1,4641,128,128,45,1000,0.12191528504430618,0.5556512794420653,-44.793426513671875
1,4641,128,128,50,1100,0.09355383529613769,0.5741244289182019,-49.95177459716797
1,4641,128,128,49,1000,0.13990362521210406,0.5682153420262336,-47.02010726928711
1,4641,128,128,49,1000,0.12375245508359593,0.5710230907266752,-47.55289840698242
1,4641,256,128,166,1100,0.15669947178089985,0.598995262167367,-97.55133056640625
1,4641,256,128,166,1100,0.15301668857146225,0.5949438218797134,-96.25698852539062
1,4641,256,128,149,1000,0.16608365664474925,0.5937923997724089,-92.6431884765625
1,4641,256,128,151,1000,0.21804886505383403,0.5966061454629928,-97.22113037109375
1,4641,256,128,177,1100,0.17869877255289135,0.5985880980998168,-96.34243774414062
1,4641,512,128,290,1200,0.1973194663983382,0.5908354627908856,-133.60208129882812
1,4641,512,128,263,1100,0.19766310971503986,0.6147694504484487,-143.21011352539062
1,4641,512,128,241,1000,0.057658969161582904,0.606332053554595,-134.6739501953125
1,10000,64,128,71,1000,0.040711883544921876,0.554774609375,-21.517702102661133
1,10000,64,128,78,1100,0.12428697509765625,0.5440599609375,-21.619243621826172
