KISS,NSamp,grid_size,num_particles,time,steps,mean_ll,ll_of_mean_f,loss
1,1000,64,64,57,1900,0.06329804611206055,0.39723486328125,-10.978260040283203
1,1000,128,64,35,1400,0.0633995361328125,0.4627044677734375,-26.716907501220703
1,1000,64,64,39,1300,0.06353232955932617,0.46056451416015626,-12.215736389160156
1,1000,64,64,47,1900,0.13584719848632812,0.4255337219238281,-12.426822662353516
1,1000,64,64,42,1400,0.11517649841308594,0.48980218505859374,-15.739013671875
1,1000,64,64,39,1300,0.03043049621582031,0.43581109619140623,-11.879100799560547
1,1000,64,64,33,1100,0.0831539306640625,0.4221944580078125,-11.358573913574219
1,1000,128,64,39,1300,-0.06363332748413086,0.4631812744140625,-27.545162200927734
1,1000,128,64,39,1300,0.06557783508300781,0.46796823120117187,-26.074085235595703
1,1000,128,64,51,1700,0.19878561401367187,0.5863807983398438,-38.903831481933594
1,1000,128,64,51,1700,0.245833740234375,0.5852408447265625,-37.93768310546875
1,1000,128,64,57,1900,0.0936959228515625,0.5345792236328125,-33.24546813964844
1,1000,256,64,133,1700,0.17102227783203125,0.61610009765625,-74.447021484375
1,1000,256,64,138,1800,0.1680401611328125,0.5882863159179688,-71.34657287597656
1,1000,256,64,123,1600,0.05321762847900391,0.5587549438476562,-59.130035400390625
1,1000,256,64,133,1700,0.14499519348144532,0.5555523681640625,-55.412353515625
1,1000,256,64,127,1600,0.1848614959716797,0.5713338623046875,-66.28591918945312
1,2154,64,64,35,1600,0.08685036378539926,0.433850018316214,-12.486452102661133
1,2154,64,64,33,1500,0.09169145192719214,0.4467256877194319,-12.324180603027344
1,2154,64,64,35,1700,-0.33515923091849464,0.46623177559373546,-13.198284149169922
1,2154,64,64,28,1400,0.025667052415088026,0.46503549786552634,-12.997953414916992
1,2154,64,64,36,1700,0.14221280663790478,0.4729900165299298,-15.837797164916992
1,2154,128,64,40,1900,0.18643735356096217,0.5552321693469998,-35.41586685180664
1,2154,128,64,32,1600,0.09817968171951166,0.5393303292928854,-34.06113815307617
1,2154,128,64,43,2000,0.18495251895546802,0.549703302268309,-36.234703063964844
1,2154,128,64,41,1900,0.1809182764759967,0.5691149188283426,-38.02374267578125
1,2154,128,64,34,1700,0.11122747649721448,0.5539768966348944,-37.86927032470703
